MFCC特征形状: (101, 20)

MFCC特征完整数据:
-4.1452	-4.7609	2.8772	-1.6469	0.9529	2.5084	-1.3420	2.6226	-0.5886	-0.5358	1.3762	-0.9229	0.8494	0.6923	-0.6632	1.2121	-0.5342	-0.2339	0.2266	-0.5613
-2.9988	-2.5276	2.4062	-2.6453	1.5557	2.2318	-3.1162	-0.0605	-2.0688	-1.4578	1.0896	-0.5962	0.9466	0.3882	-0.9693	0.1706	-1.3018	0.5519	1.1273	-0.2165
-2.8063	-2.6266	2.2203	-1.5219	2.0500	1.8784	-2.6342	0.3692	-1.2303	-0.6239	1.0898	-0.7223	0.3227	0.3462	0.3744	0.2389	-2.0729	0.7691	1.0208	-0.9126
-2.5812	-2.3781	2.0308	-1.6851	1.2017	0.9990	-2.2763	0.8262	-1.9154	-1.7459	1.1290	-0.5511	-0.2933	0.0399	0.1262	-0.2418	-1.6486	0.7439	0.2415	-1.7407
-2.3602	-2.2094	1.8488	-1.3503	1.1868	0.5437	-1.8990	1.6292	-1.1319	-0.9069	1.7937	-0.0269	0.1221	0.2457	0.2925	0.5738	-1.5034	-0.8282	-0.4898	-1.0848
-2.4058	-2.4267	1.7403	-1.5497	0.8113	1.2954	-1.4438	1.5550	-0.1580	-0.5544	-0.1392	-0.9563	0.3244	-0.3060	0.0435	1.3856	-0.2297	0.5814	0.0896	-0.7337
-0.9255	0.6715	2.1220	-1.4427	-1.6108	-1.9823	-2.3461	0.3458	-1.3248	-1.3192	0.3867	-0.7982	-0.4373	-0.2810	-0.4654	0.2384	0.0638	0.4341	-0.6597	-1.5718
-0.5766	0.6207	1.2992	-1.1677	-0.1015	-1.3033	-2.3976	-0.2360	-0.9812	-0.4591	0.7115	-0.6964	-0.3715	0.2445	0.0170	-0.3122	-0.0818	0.9065	-0.8333	-2.0419
-0.2092	0.8078	0.9340	-0.3082	1.0109	-0.5964	-1.3401	0.7473	-0.5339	-0.5510	0.2736	-1.0824	-1.0966	-0.6034	0.0168	0.5539	0.5374	1.0569	-0.5653	-1.7096
1.1952	2.3204	-0.3008	-0.9128	-0.2596	-0.5021	-1.0984	-0.5964	-0.7424	-2.3079	-1.0974	0.0320	0.3982	1.6139	-0.7460	-1.8776	0.2417	0.4473	0.3451	-0.7828
0.9037	1.6850	-0.4233	-0.6877	0.8748	0.4250	-0.5192	-0.0356	-0.6028	-2.2912	-1.6549	0.0143	0.6227	1.4365	1.0661	0.8785	0.7075	0.0085	-0.5247	-1.2121
0.1801	1.0659	0.3698	-0.5977	0.7120	0.3499	0.3047	0.8130	-1.5359	-1.8229	-0.7480	-0.4588	0.2572	-0.2530	-0.7625	0.0048	0.1618	0.3554	-0.1137	-0.4419
-0.1800	0.5359	0.5264	-0.4480	1.6184	0.3745	-1.2041	0.2920	-0.6939	-1.0748	0.3638	0.6753	0.4292	-0.8070	-1.2284	-0.1593	0.9038	0.7328	-0.2145	0.0916
-0.3604	0.1125	0.5191	-0.4544	0.9626	0.0517	-0.5369	1.3737	-0.2278	-0.7030	0.8967	0.3097	-0.9148	-0.9656	0.2809	0.4080	0.2949	0.5410	0.1092	0.2953
-0.7882	-0.4889	0.8232	-0.8921	-1.1009	-1.1338	-0.7592	0.3786	-0.6385	-0.4709	-0.0507	-0.3330	-0.0061	0.3547	1.8046	2.3427	0.9488	0.2677	-1.0054	-0.3794
-0.8154	-0.6057	0.7908	0.0355	0.7394	-0.7837	-0.2610	0.8101	-0.6210	0.7898	0.7702	0.0084	0.7363	-0.7157	0.3957	2.0109	0.9145	0.9822	-1.0603	-1.3053
-2.0421	-2.1716	1.3156	-1.7104	-1.1294	-1.1550	-1.1891	1.1641	-0.6100	0.7262	1.2309	-0.2449	1.6512	1.0352	-0.1608	1.0052	0.2865	0.1725	-1.0787	-0.8503
-1.1294	-0.9728	1.1550	-0.0255	0.1892	-0.9845	-1.0879	1.0742	0.2334	0.2889	0.0959	-0.0618	1.3030	0.5239	-0.0913	1.1981	1.0173	0.6719	-0.1916	0.1563
-0.7572	-0.2816	0.7722	-0.8462	0.7517	0.0592	-0.6401	1.4658	0.3131	-0.2997	-1.1678	-0.4576	1.0767	-0.6097	-0.1501	0.9538	-0.8890	-0.0409	-0.3670	-1.0198
-0.5374	-0.6158	0.0344	-1.1236	0.2362	0.4623	-0.8294	-0.2532	0.2786	0.1918	-0.6102	0.0643	0.8349	-0.0265	0.7916	1.9053	1.2300	0.9625	-0.0535	0.0559
-0.2098	-0.0381	0.2742	-0.4453	-0.9008	-0.8019	-0.0753	-0.1126	-0.8846	-0.8833	-0.8385	-0.2343	0.2335	-0.5415	0.0733	0.8432	-0.1505	-0.1953	-0.1450	-0.6915
0.4882	1.2461	0.0401	-1.3274	-2.0250	-1.0325	-0.8791	-1.7108	-0.3588	0.1707	-0.2031	0.7532	0.7689	-1.0580	-0.8166	0.5323	0.5620	-0.1881	-0.6811	-0.5787
0.4230	0.9885	-0.1196	-1.7824	-3.0019	-1.6845	-1.6852	-3.1534	-1.1229	-0.7652	-1.4413	-0.3955	-0.1707	-0.9194	-0.5393	0.3118	1.0486	-0.5513	-2.2025	-1.1762
0.3780	1.0499	0.1833	-0.9199	-2.0463	-1.6394	-0.7107	-0.4970	-0.1923	-0.5875	-0.9027	-0.4572	-0.4602	-0.8023	-0.2772	0.2754	-0.0053	-0.5298	-0.3252	0.2486
